breed_group,weight_upper,description,name,id,image_url,life_span_upper,height_upper,bred_for,temperament,life_span_lower,weight_lower,height_lower
Toy,13.0,,Affenpinscher,1,https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg,12,11.5,"Small rodent hunting, lapdog","Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",10,6.0,9.0
Hound,60.0,,Afghan Hound,2,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg,13,27.0,Coursing and hunting,"Aloof, Clownish, Dignified, Independent, Happy",10,50.0,25.0
,66.0,,African Hunting Dog,3,https://cdn2.thedogapi.com/images/rkiByec47.jpg,11,,A wild pack animal,"Wild, Hardworking, Dutiful",11,44.0,30.0
Terrier,65.0,,Airedale Terrier,4,https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg,13,23.0,"Badger, otter hunting","Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",10,40.0,21.0
Working,120.0,,Akbash Dog,5,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg,12,34.0,Sheep guarding,"Loyal, Independent, Intelligent, Brave",10,90.0,28.0
Working,115.0,,Akita,6,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg,14,28.0,Hunting bears,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",10,65.0,24.0
Mixed,90.0,"The Alapaha Blue Blood Bulldog is a well-developed, exaggerated bulldog with a broad head and natural drop ears. The prominent muzzle is covered by loose upper lips. The prominent eyes are set well apart. The Alapaha's coat is relatively short and fairly stiff. Preferred colors are blue merle, brown merle, or red merle all trimmed in white or chocolate and white. Also preferred are the glass eyes (blue) or marble eyes (brown and blue mixed in a single eye). The ears and tail are never trimmed or docked. The body is sturdy and very muscular. The well-muscled hips are narrower than the chest. The straight back is as long as the dog is high at the shoulders. The dewclaws are never removed and the feet are cat-like.",Alapaha Blue Blood Bulldog,7,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg,13,24.0,Guarding,"Loving, Protective, Trainable, Dutiful, Responsible",12,55.0,18.0
Mixed,50.0,,Alaskan Husky,8,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg,13,26.0,Sled pulling,"Friendly, Energetic, Loyal, Gentle, Confident",10,38.0,23.0
Working,100.0,,Alaskan Malamute,9,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,15,25.0,"Hauling heavy freight, Sled pulling","Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",12,65.0,23.0
Working,120.0,,American Bulldog,10,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,12,27.0,,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",10,60.0,22.0
,150.0,,American Bully,11,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg,15,17.0,Family companion dog,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",8,30.0,14.0
Non-Sporting,40.0,,American Eskimo Dog,12,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg,15,19.0,Circus performer,"Friendly, Alert, Reserved, Intelligent, Protective",12,20.0,15.0
,10.0,,American Eskimo Dog (Miniature),13,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg,15,12.0,Companionship,"Friendly, Alert, Reserved, Intelligent, Protective",13,7.0,9.0
Hound,75.0,,American Foxhound,14,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg,15,28.0,"Fox hunting, scent hound","Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",8,65.0,21.0
Terrier,60.0,,American Pit Bull Terrier,15,https://cdn2.thedogapi.com/images/HkC31gcNm.png,15,21.0,Fighting,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",10,30.0,17.0
Terrier,60.0,,American Staffordshire Terrier,16,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg,15,19.0,,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",12,50.0,17.0
Sporting,45.0,,American Water Spaniel,17,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg,12,18.0,Bird flushing and retrieving,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",10,25.0,15.0
Working,150.0,,Anatolian Shepherd Dog,18,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg,13,29.0,Livestock herding,"Steady, Bold, Independent, Confident, Intelligent, Proud",11,80.0,27.0
,55.0,,Appenzeller Sennenhund,19,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg,14,22.0,"Herding livestock, pulling carts, and guarding the farm","Reliable, Fearless, Energetic, Lively, Self-assured",12,48.0,20.0
Herding,62.0,,Australian Cattle Dog,21,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg,14,20.0,"Cattle herding, herding trials","Cautious, Energetic, Loyal, Obedient, Protective, Brave",12,44.0,17.0
Herding,46.0,,Australian Kelpie,22,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg,13,20.0,"Farm dog, Cattle herding","Friendly, Energetic, Alert, Loyal, Intelligent, Eager",10,31.0,17.0
Herding,65.0,,Australian Shepherd,23,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg,16,23.0,Sheep herding,"Good-natured, Affectionate, Intelligent, Active, Protective",12,35.0,18.0
Terrier,16.0,,Australian Terrier,24,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg,15,11.0,"Cattle herdering, hunting snakes and rodents","Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",15,14.0,10.0
Hound,55.0,,Azawakh,25,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg,13,29.0,"Livestock guardian, hunting","Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",10,33.0,23.0
,65.0,,Barbet,26,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg,15,26.0,Hunting water game,"Obedient, Companionable, Intelligent, Joyful",13,40.0,20.0
Hound,24.0,,Basenji,28,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg,12,17.0,Hunting,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",10,22.0,16.0
Hound,40.0,,Basset Bleu de Gascogne,29,https://cdn2.thedogapi.com/images/BkMQll94X.jpg,14,15.0,Hunting on foot.,"Affectionate, Lively, Agile, Curious, Happy, Active",10,35.0,13.0
Hound,65.0,,Basset Hound,30,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,15,,Hunting by scent,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",12,50.0,14.0
Hound,35.0,,Beagle,31,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg,16,15.0,"Rabbit, hare hunting","Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",13,20.0,13.0
Herding,55.0,,Bearded Collie,32,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg,14,22.0,Sheep herding,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",12,45.0,20.0
Herding,110.0,,Beauceron,33,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg,12,27.5,"Boar herding, hunting, guarding","Fearless, Friendly, Intelligent, Protective, Calm",10,80.0,24.0
Terrier,23.0,,Bedlington Terrier,34,https://cdn2.thedogapi.com/images/ByK8gx947.jpg,16,16.0,"Killing rat, badger, other vermin","Affectionate, Spirited, Intelligent, Good-tempered",14,17.0,15.0
Herding,80.0,,Belgian Malinois,36,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg,14,26.0,Stock herding,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",12,40.0,22.0
Herding,65.0,,Belgian Tervuren,38,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg,12,26.0,"Guarding, Drafting, Police work.","Energetic, Alert, Loyal, Intelligent, Attentive, Protective",10,40.0,22.0
Working,120.0,,Bernese Mountain Dog,41,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,10,27.5,Draft work,"Affectionate, Loyal, Intelligent, Faithful",7,65.0,23.0
