id,breed_group,name,weight_lower,weight_upper,image_url,height_lower,height_upper,bred_for,temperament,life_span_lower,life_span_upper,avg_height,avg_weight,avg_life
1,Toy,Affenpinscher,6,13,https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg,9,11.5,"Small rodent hunting, lapdog","Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",10,12,10.25,9.5,11
2,Hound,Afghan Hound,50,60,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg,25,27,Coursing and hunting,"Aloof, Clownish, Dignified, Independent, Happy",10,13,26,55,11.5
3,,African Hunting Dog,44,66,https://cdn2.thedogapi.com/images/rkiByec47.jpg,30,,A wild pack animal,"Wild, Hardworking, Dutiful",11,11,,55,11
4,Terrier,Airedale Terrier,40,65,https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg,21,23,"Badger, otter hunting","Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",10,13,22,52.5,11.5
5,Working,Akbash Dog,90,120,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg,28,34,Sheep guarding,"Loyal, Independent, Intelligent, Brave",10,12,31,105,11
6,Working,Akita,65,115,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg,24,28,Hunting bears,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",10,14,26,90,12
7,Mixed,Alapaha Blue Blood Bulldog,55,90,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg,18,24,Guarding,"Loving, Protective, Trainable, Dutiful, Responsible",12,13,21,72.5,12.5
8,Mixed,Alaskan Husky,38,50,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg,23,26,Sled pulling,"Friendly, Energetic, Loyal, Gentle, Confident",10,13,24.5,44,11.5
9,Working,Alaskan Malamute,65,100,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,23,25,"Hauling heavy freight, Sled pulling","Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",12,15,24,82.5,13.5
10,Working,American Bulldog,60,120,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,22,27,,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",10,12,24.5,90,11
11,,American Bully,30,150,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg,14,17,Family companion dog,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",8,15,15.5,90,11.5
12,Non-Sporting,American Eskimo Dog,20,40,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg,15,19,Circus performer,"Friendly, Alert, Reserved, Intelligent, Protective",12,15,17,30,13.5
13,,American Eskimo Dog (Miniature),7,10,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg,9,12,Companionship,"Friendly, Alert, Reserved, Intelligent, Protective",13,15,10.5,8.5,14
14,Hound,American Foxhound,65,75,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg,21,28,"Fox hunting, scent hound","Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",8,15,24.5,70,11.5
15,Terrier,American Pit Bull Terrier,30,60,https://cdn2.thedogapi.com/images/HkC31gcNm.png,17,21,Fighting,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",10,15,19,45,12.5
16,Terrier,American Staffordshire Terrier,50,60,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg,17,19,,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",12,15,18,55,13.5
17,Sporting,American Water Spaniel,25,45,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg,15,18,Bird flushing and retrieving,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",10,12,16.5,35,11
18,Working,Anatolian Shepherd Dog,80,150,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg,27,29,Livestock herding,"Steady, Bold, Independent, Confident, Intelligent, Proud",11,13,28,115,12
19,,Appenzeller Sennenhund,48,55,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg,20,22,"Herding livestock, pulling carts, and guarding the farm","Reliable, Fearless, Energetic, Lively, Self-assured",12,14,21,51.5,13
21,Herding,Australian Cattle Dog,44,62,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg,17,20,"Cattle herding, herding trials","Cautious, Energetic, Loyal, Obedient, Protective, Brave",12,14,18.5,53,13
22,Herding,Australian Kelpie,31,46,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg,17,20,"Farm dog, Cattle herding","Friendly, Energetic, Alert, Loyal, Intelligent, Eager",10,13,18.5,38.5,11.5
23,Herding,Australian Shepherd,35,65,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg,18,23,Sheep herding,"Good-natured, Affectionate, Intelligent, Active, Protective",12,16,20.5,50,14
24,Terrier,Australian Terrier,14,16,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg,10,11,"Cattle herdering, hunting snakes and rodents","Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",15,15,10.5,15,15
25,Hound,Azawakh,33,55,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg,23,29,"Livestock guardian, hunting","Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",10,13,26,44,11.5
