row_index,breed_rank,origin,lat_unadj,lng_unadj,lat,lng,name,id_doggy
0,#47,Japan,36.204824,138.252924,35.87997252,139.0972851,Akita,6
1,#46,"Maryland, USA",39.0457549,-76.6412712,40.18664131,-75.63634008,Chesapeake Bay Retriever,76
2,#45,Japan,36.204824,138.252924,36.02491635,137.0648493,Shiba Inu,222
3,#44,Scotland,56.4906712,-4.2026458,57.1549791,-3.497010059,West Highland White Terrier,256
4,#43,Spain,40.463667,-3.74922,41.32507612,-5.04351352,Bichon Frise,42
5,#42,Africa,-8.783195,34.508523,-6.823239827,34.49287069,Rhodesian Ridgeback,209
6,#41,Belgium,50.503887,4.469936,49.97336923,6.064536088,Belgian Malinois,36
7,#40,"Newfoundland, Canada",53.1355091,-57.6604364,51.80227654,-55.73427362,Newfoundland,171
8,#39,Germany,51.165691,10.451526,51.15327375,11.8752123,Weimaraner,253
9,#37,France and Belgium,46.227638,2.213749,46.6781288,0.477742514,Basset Hound,30
10,#36,Malta,35.937496,14.375416,34.7161962,13.55141619,Maltese,161
11,#34,Hungary,47.162494,19.503304,47.02211294,20.56314854,Vizsla,251
12,#33,Great Britain,53.8337367,-2.4290148,52.03994275,-2.364845299,Border Collie,50
13,#31,China,35.86166,104.195397,34.26892141,102.4556944,Pug,201
14,#30,Italy,41.87194,12.56738,42.0456363,13.7624208,Cane Corso,67
15,#29,United States,37.09024,-95.712891,37.32317345,-95.61651348,Miniature American Shepherd,165
16,#28,Spain,40.463667,-3.74922,41.83735146,-3.444550708,Cocker Spaniel,86
17,#27,Spain and England,40.463667,-3.74922,39.99214777,-3.425993423,English Springer Spaniel,103
18,#26,France,46.227638,2.213749,45.412895,1.506761821,Brittany,59
19,#25,"Shetland Islands, Scotland",60.5296507,-1.2659408,58.55062518,-1.480672809,Shetland Sheepdog,221
20,#24,"Poland, Germany",51.919438,19.145136,50.54558538,20.66826021,Pomeranian,193
21,#23,"Bern, Switzerland",46.9479739,7.4474468,48.59551281,9.39693403,Bernese Mountain Dog,41
22,#22,Cuba,21.521757,-77.781167,20.88876727,-77.49353853,Havanese,130
23,#21,"Boston, United States",42.3600825,-71.0588801,41.5642546,-69.81162142,Boston Terrier,53
24,#20,China,35.86166,104.195397,36.64726115,102.8245942,Shih Tzu,223
25,#19,Germany,51.165691,10.451526,51.4779918,9.362028083,Doberman Pinscher,94
26,#18,Germany,51.165691,10.451526,52.90811539,10.13939403,Miniature Schnauzer,168
27,#17,Germany,51.165691,10.451526,50.55873002,11.62315012,Great Dane,124
28,#16,England,52.3555177,-1.1743197,52.08825989,-2.157176704,Cavalier King Charles Spaniel,71
29,#15,Siberia,61.0137097,99.1966559,60.2303255,100.9500351,Siberian Husky,226
30,#14,Germany,51.165691,10.451526,49.21389451,8.525781853,Boxer,55
31,#13,Europe,54.5259614,15.2551187,53.10786744,16.87604144,Australian Shepherd,23
32,#12,England,52.3555177,-1.1743197,51.18088122,-2.54390826,Yorkshire Terrier,264
33,#10,Wales,52.1306607,-3.7837117,52.40062871,-3.994166119,Pembroke Welsh Corgi,184
34,#9,Germany,51.165691,10.451526,52.82466912,11.96300007,German Shorthaired Pointer,116
35,#8,Germany,51.165691,10.451526,50.11486085,8.582879472,Rottweiler,210
36,#7,England,52.3555177,-1.1743197,52.55894087,-2.242539153,Beagle,31
37,#4,France,46.227638,2.213749,46.74401117,1.273832777,French Bulldog,113
38,#3,Scotland,56.4906712,-4.2026458,57.08775731,-5.019799746,Golden Retriever,121
39,#1,"Newfoundland, Canada",53.1355091,-57.6604364,54.90380221,-57.80697452,Labrador Retriever,149
