name,life_span_lower,life_span_upper,id,weight_upper,bred_for,height_upper,image_url,description,weight_lower,breed_group,height_lower,temperament
Affenpinscher,10,12,1,13.0,"Small rodent hunting, lapdog",11.5,https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg,,6.0,Toy,9.0,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving"
Afghan Hound,10,13,2,60.0,Coursing and hunting,27.0,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg,,50.0,Hound,25.0,"Aloof, Clownish, Dignified, Independent, Happy"
African Hunting Dog,11,11,3,66.0,A wild pack animal,,https://cdn2.thedogapi.com/images/rkiByec47.jpg,,44.0,,30.0,"Wild, Hardworking, Dutiful"
Airedale Terrier,10,13,4,65.0,"Badger, otter hunting",23.0,https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg,,40.0,Terrier,21.0,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous"
Akbash Dog,10,12,5,120.0,Sheep guarding,34.0,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg,,90.0,Working,28.0,"Loyal, Independent, Intelligent, Brave"
Akita,10,14,6,115.0,Hunting bears,28.0,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg,,65.0,Working,24.0,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous"
Alapaha Blue Blood Bulldog,12,13,7,90.0,Guarding,24.0,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg,"The Alapaha Blue Blood Bulldog is a well-developed, exaggerated bulldog with a broad head and natural drop ears. The prominent muzzle is covered by loose upper lips. The prominent eyes are set well apart. The Alapaha's coat is relatively short and fairly stiff. Preferred colors are blue merle, brown merle, or red merle all trimmed in white or chocolate and white. Also preferred are the glass eyes (blue) or marble eyes (brown and blue mixed in a single eye). The ears and tail are never trimmed or docked. The body is sturdy and very muscular. The well-muscled hips are narrower than the chest. The straight back is as long as the dog is high at the shoulders. The dewclaws are never removed and the feet are cat-like.",55.0,Mixed,18.0,"Loving, Protective, Trainable, Dutiful, Responsible"
Alaskan Husky,10,13,8,50.0,Sled pulling,26.0,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg,,38.0,Mixed,23.0,"Friendly, Energetic, Loyal, Gentle, Confident"
Alaskan Malamute,12,15,9,100.0,"Hauling heavy freight, Sled pulling",25.0,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,,65.0,Working,23.0,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful"
American Bulldog,10,12,10,120.0,,27.0,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,,60.0,Working,22.0,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant"
American Bully,8,15,11,150.0,Family companion dog,17.0,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg,,30.0,,14.0,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous"
American Eskimo Dog,12,15,12,40.0,Circus performer,19.0,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg,,20.0,Non-Sporting,15.0,"Friendly, Alert, Reserved, Intelligent, Protective"
American Eskimo Dog (Miniature),13,15,13,10.0,Companionship,12.0,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg,,7.0,,9.0,"Friendly, Alert, Reserved, Intelligent, Protective"
American Foxhound,8,15,14,75.0,"Fox hunting, scent hound",28.0,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg,,65.0,Hound,21.0,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving"
American Pit Bull Terrier,10,15,15,60.0,Fighting,21.0,https://cdn2.thedogapi.com/images/HkC31gcNm.png,,30.0,Terrier,17.0,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous"
American Staffordshire Terrier,12,15,16,60.0,,19.0,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg,,50.0,Terrier,17.0,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous"
American Water Spaniel,10,12,17,45.0,Bird flushing and retrieving,18.0,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg,,25.0,Sporting,15.0,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable"
Anatolian Shepherd Dog,11,13,18,150.0,Livestock herding,29.0,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg,,80.0,Working,27.0,"Steady, Bold, Independent, Confident, Intelligent, Proud"
Appenzeller Sennenhund,12,14,19,55.0,"Herding livestock, pulling carts, and guarding the farm",22.0,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg,,48.0,,20.0,"Reliable, Fearless, Energetic, Lively, Self-assured"
Australian Cattle Dog,12,14,21,62.0,"Cattle herding, herding trials",20.0,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg,,44.0,Herding,17.0,"Cautious, Energetic, Loyal, Obedient, Protective, Brave"
